Employee ID,StartDate,start_date_parsed,years_of_service,tenure_group,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,dob_parsed,State,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Survey Date,Engagement Score,engagement_level,Satisfaction Score,Work-Life Balance Score,Training Date,training_date_parsed,Training Program Name,Training Type,Training Outcome,training_success,Training Duration(Days),Training Cost,Age,age_group,flag_under18_at_hire,flag_training_before_hire
3466,13-Apr-22,2022-04-13,4,2-4 yrs,Area Sales Manager,PYZ,Active,Part-Time,ZONE C,Full-Time,It/is,Aerial,26-01-1979,1979-01-26,KY,Male,Other,Married,Exceeds,4,04-08-2023,1,Low,3,4,07-Dec-22,2022-12-07,Customer Service,External,Passed,1,3,447.66,43,40-49,0,0
3467,06-May-20,2020-05-06,6,5-9 yrs,Area Sales Manager,WBL,Active,Contract,ZONE A,Part-Time,Sales,Fielders,14-05-1987,1987-05-14,KY,Female,Asian,Divorced,Exceeds,1,27-06-2023,4,High,3,2,24-Feb-23,2023-02-24,Technical Skills,Internal,Incomplete,0,1,759.7,33,30-39,0,0
3468,09-Sep-19,2019-09-09,6,5-9 yrs,Area Sales Manager,NEL,Active,Contract,ZONE B,Temporary,Sales,Wireline Construction,26-04-1998,1998-04-26,KY,Female,Black,Single,Fully meets,4,05-02-2023,3,Medium,1,3,10-May-23,2023-05-10,Customer Service,Internal,Completed,1,3,180.63,21,Under 30,0,0
3471,29-Feb-20,2020-02-29,6,5-9 yrs,Area Sales Manager,CCDR,Active,Part-Time,ZONE C,Temporary,Sales,Field Operations,03-01-1967,1967-01-03,TX,Male,Asian,Married,Fully meets,4,30-04-2023,2,Low,4,1,23-Mar-23,2023-03-23,Customer Service,External,Passed,1,3,109.98,53,50-59,0,0
3472,15-Jan-23,2023-01-15,3,2-4 yrs,Area Sales Manager,SVG,Active,Contract,ZONE C,Full-Time,Sales,Project Management - Con,12-01-1982,1982-01-12,TX,Male,Other,Married,Exceeds,4,26-07-2023,5,High,5,4,12-Feb-23,2023-02-12,Technical Skills,External,Completed,1,5,537.24,41,40-49,0,0
3474,09-Mar-20,2020-03-09,6,5-9 yrs,Area Sales Manager,MSC,Active,Full-Time,ZONE A,Temporary,Sales,Catv,16-12-1965,1965-12-16,CO,Male,Other,Divorced,Fully meets,2,09-05-2023,3,Medium,1,2,01-Sep-22,2022-09-01,Customer Service,External,Incomplete,0,5,155.51,55,50-59,0,0
3475,21-Sep-21,2021-09-21,4,2-4 yrs,Area Sales Manager,TNS,Active,Full-Time,ZONE C,Temporary,Sales,General - Con,25-12-1957,1957-12-25,IN,Male,Asian,Widowed,Fully meets,2,25-01-2023,4,High,3,4,02-Nov-22,2022-11-02,Customer Service,Internal,Passed,1,2,648.76,64,60+,0,0
3477,07-Apr-19,2019-04-07,7,5-9 yrs,Area Sales Manager,PYZ,Active,Part-Time,ZONE A,Full-Time,It/is,Aerial,03-12-1969,1969-12-03,KY,Female,Asian,Widowed,Needs improvement,2,05-12-2022,1,Low,2,1,07-Nov-22,2022-11-07,Leadership Development,External,Failed,0,5,429.48,50,50-59,0,0
3478,17-Sep-18,2018-09-17,7,5-9 yrs,Area Sales Manager,WBL,Active,Full-Time,ZONE C,Temporary,Sales,Wireline Construction,10-10-1957,1957-10-10,KY,Female,Hispanic,Married,Fully meets,2,29-11-2022,3,Medium,4,1,05-Oct-22,2022-10-05,Technical Skills,External,Incomplete,0,1,526.74,61,60+,0,0
3479,02-Aug-22,2022-08-02,3,2-4 yrs,Area Sales Manager,NEL,Active,Contract,ZONE A,Part-Time,Sales,Project Management - Con,17-05-1962,1962-05-17,TX,Female,Hispanic,Widowed,Fully meets,2,03-11-2022,4,High,4,4,18-Jan-23,2023-01-18,Communication Skills,Internal,Passed,1,3,443.45,60,60+,0,0
3483,26-Sep-21,2021-09-26,4,2-4 yrs,Area Sales Manager,SVG,Active,Part-Time,ZONE B,Temporary,Sales,Project Management - Con,19-06-1964,1964-06-19,CO,Male,Asian,Widowed,Fully meets,1,23-10-2022,1,Low,4,5,10-Aug-22,2022-08-10,Project Management,External,Passed,1,4,111.96,57,50-59,0,0
3484,29-Aug-18,2018-08-29,7,5-9 yrs,Area Sales Manager,EW,Active,Part-Time,ZONE B,Full-Time,Sales,General - Con,18-07-1995,1995-07-18,CO,Male,Other,Single,Fully meets,4,16-09-2022,1,Low,2,4,27-Jun-23,2023-06-27,Project Management,External,Passed,1,1,795.7,23,Under 30,0,0
3485,26-Oct-21,2021-10-26,4,2-4 yrs,Area Sales Manager,MSC,Active,Contract,ZONE C,Full-Time,Sales,Field Operations,22-08-1994,1994-08-22,CO,Male,White,Widowed,Fully meets,5,07-05-2023,2,Low,1,3,07-Aug-22,2022-08-07,Customer Service,Internal,Passed,1,2,796.45,27,Under 30,0,0
3486,31-Oct-22,2022-10-31,3,2-4 yrs,Area Sales Manager,TNS,Active,Part-Time,ZONE C,Temporary,Sales,Fielders,14-11-1990,1990-11-14,IN,Male,Other,Widowed,Fully meets,4,27-08-2022,3,Medium,1,1,23-Jul-23,2023-07-23,Project Management,Internal,Completed,1,5,812.59,32,30-39,0,0
3487,15-Mar-23,2023-03-15,3,2-4 yrs,Area Sales Manager,BPC,Active,Contract,ZONE B,Part-Time,Sales,General - Sga,01-02-1994,1994-02-01,KY,Female,Other,Divorced,Fully meets,4,23-09-2022,5,High,4,1,17-Jul-23,2023-07-17,Project Management,External,Completed,1,5,132.97,29,Under 30,0,0
3488,09-Sep-22,2022-09-09,3,2-4 yrs,Area Sales Manager,CCDR,Active,Contract,ZONE B,Full-Time,Sales,Wireline Construction,12-11-1997,1997-11-12,KY,Female,Asian,Single,Fully meets,2,11-03-2023,1,Low,5,1,20-Sep-22,2022-09-20,Communication Skills,Internal,Completed,1,1,308.19,25,Under 30,0,0
3489,04-Mar-22,2022-03-04,4,2-4 yrs,Area Sales Manager,EW,Active,Part-Time,ZONE A,Temporary,Sales,Field Operations,02-05-1953,1953-05-02,TX,Female,Black,Divorced,Fully meets,2,03-12-2022,2,Low,4,5,02-Jul-23,2023-07-02,Project Management,Internal,Passed,1,1,131.41,69,60+,0,0
3490,11-Feb-19,2019-02-11,7,5-9 yrs,Area Sales Manager,MSC,Active,Part-Time,ZONE A,Part-Time,Sales,General - Sga,10-07-1991,1991-07-10,TX,Female,Hispanic,Divorced,Fully meets,2,12-10-2022,5,High,3,2,19-Jul-23,2023-07-19,Technical Skills,Internal,Failed,0,3,389.59,28,Under 30,0,0
3491,26-Jan-21,2021-01-26,5,5-9 yrs,Area Sales Manager,NEL,Active,Contract,ZONE B,Full-Time,Sales,Field Operations,02-06-1973,1973-06-02,TX,Male,White,Widowed,Fully meets,5,10-09-2022,3,Medium,4,5,14-Jul-23,2023-07-14,Project Management,Internal,Incomplete,0,3,442.56,48,40-49,0,0
3492,26-Nov-19,2019-11-26,6,5-9 yrs,Area Sales Manager,PL,Active,Full-Time,ZONE C,Full-Time,Sales,General - Con,08-01-1993,1993-01-08,CO,Male,Asian,Married,Fully meets,1,13-01-2023,1,Low,5,5,06-Sep-22,2022-09-06,Project Management,Internal,Incomplete,0,3,327.66,26,Under 30,0,0
3493,15-Jul-19,2019-07-15,6,5-9 yrs,Area Sales Manager,PYZ,Active,Full-Time,ZONE C,Full-Time,Sales,Project Management - Con,17-04-1984,1984-04-17,CO,Male,Asian,Widowed,Fully meets,5,02-04-2023,3,Medium,1,5,19-Feb-23,2023-02-19,Project Management,Internal,Completed,1,3,400.95,35,30-39,0,0
3494,18-Jun-20,2020-06-18,5,5-9 yrs,Area Sales Manager,SVG,Active,Contract,ZONE B,Full-Time,Sales,General - Con,08-02-1994,1994-02-08,CO,Male,Black,Single,Fully meets,4,15-12-2022,1,Low,2,1,11-Feb-23,2023-02-11,Technical Skills,Internal,Completed,1,2,910.45,26,Under 30,0,0
3495,22-Jun-23,2023-06-22,2,2-4 yrs,Area Sales Manager,TNS,Active,Part-Time,ZONE B,Temporary,Sales,Wireline Construction,27-01-1993,1993-01-27,IN,Male,Other,Married,Fully meets,4,08-09-2022,4,High,3,5,21-Dec-22,2022-12-21,Customer Service,External,Passed,1,1,701.55,30,30-39,0,1
3496,02-Dec-21,2021-12-02,4,2-4 yrs,Area Sales Manager,WBL,Active,Contract,ZONE A,Part-Time,Sales,General - Sga,19-09-1964,1964-09-19,CA,Male,Other,Widowed,Fully meets,5,26-12-2022,1,Low,3,2,16-Feb-23,2023-02-16,Project Management,Internal,Incomplete,0,1,806.87,57,50-59,0,0
3497,08-Dec-21,2021-12-08,4,2-4 yrs,Area Sales Manager,TNS,Active,Part-Time,ZONE C,Temporary,Sales,Project Management - Con,18-02-1981,1981-02-18,OR,Female,Hispanic,Widowed,Fully meets,1,18-09-2022,2,Low,3,4,11-Mar-23,2023-03-11,Communication Skills,Internal,Completed,1,2,184.21,40,40-49,0,0
3498,26-Apr-23,2023-04-26,3,2-4 yrs,Area Sales Manager,PYZ,Active,Full-Time,ZONE A,Full-Time,Sales,General - Sga,17-10-1998,1998-10-17,KY,Female,White,Widowed,Fully meets,2,19-06-2023,3,Medium,3,4,30-May-23,2023-05-30,Project Management,External,Failed,0,1,208.43,25,Under 30,0,0
3499,25-Sep-18,2018-09-25,7,5-9 yrs,Area Sales Manager,WBL,Active,Part-Time,ZONE C,Temporary,Sales,Field Operations,16-01-1971,1971-01-16,KY,Female,Asian,Widowed,Fully meets,5,21-07-2023,5,High,3,5,30-Jan-23,2023-01-30,Technical Skills,Internal,Incomplete,0,2,762.45,47,40-49,0,0
3500,20-Nov-18,2018-11-20,7,5-9 yrs,Area Sales Manager,NEL,Active,Full-Time,ZONE B,Part-Time,Sales,Shop (Fleet),25-02-2000,2000-02-25,TX,Female,White,Divorced,Fully meets,1,14-05-2023,4,High,1,4,15-Jun-23,2023-06-15,Leadership Development,External,Incomplete,0,4,779.79,18,Under 30,0,0
3502,01-Oct-19,2019-10-01,6,5-9 yrs,Area Sales Manager,BPC,Active,Full-Time,ZONE C,Temporary,Sales,Splicing,29-06-1976,1976-06-29,TX,Male,White,Married,Fully meets,1,24-04-2023,5,High,3,5,03-Jan-23,2023-01-03,Customer Service,External,Incomplete,0,3,427.12,43,40-49,0,0
3504,10-Oct-21,2021-10-10,4,2-4 yrs,Area Sales Manager,SVG,Active,Full-Time,ZONE B,Part-Time,Sales,General - Con,23-08-1980,1980-08-23,CO,Male,Hispanic,Married,Fully meets,2,20-04-2023,3,Medium,4,3,02-Jun-23,2023-06-02,Communication Skills,Internal,Completed,1,5,963.23,41,40-49,0,0
3506,27-Aug-19,2019-08-27,6,5-9 yrs,Area Sales Manager,MSC,Active,Full-Time,ZONE B,Temporary,Sales,Field Operations,06-07-1988,1988-07-06,IN,Male,Other,Married,Fully meets,2,27-06-2023,2,Low,2,3,21-May-23,2023-05-21,Leadership Development,Internal,Completed,1,1,781.81,31,30-39,0,0
3507,25-Feb-21,2021-02-25,5,5-9 yrs,Area Sales Manager,TNS,Active,Full-Time,ZONE A,Full-Time,Sales,Project Management - Con,24-03-1973,1973-03-24,CA,Male,White,Single,Fully meets,4,31-03-2023,2,Low,5,2,25-May-23,2023-05-25,Project Management,Internal,Passed,1,4,651.77,48,40-49,0,0
3509,14-Apr-21,2021-04-14,5,5-9 yrs,Area Sales Manager,BPC,Active,Part-Time,ZONE C,Full-Time,Sales,General - Sga,04-11-1977,1977-11-04,KY,Female,Black,Married,Fully meets,2,03-12-2022,4,High,5,2,04-Mar-23,2023-03-04,Leadership Development,External,Completed,1,4,612.1,44,40-49,0,0
3510,10-Feb-20,2020-02-10,6,5-9 yrs,Area Sales Manager,PYZ,Active,Part-Time,ZONE A,Full-Time,Sales,General - Con,17-10-1956,1956-10-17,KY,Female,Hispanic,Married,Fully meets,2,22-08-2022,2,Low,4,3,27-Oct-22,2022-10-27,Technical Skills,External,Completed,1,4,473.23,64,60+,0,0
3511,17-Aug-21,2021-08-17,4,2-4 yrs,Area Sales Manager,WBL,Active,Part-Time,ZONE B,Full-Time,Sales,Finance & Accounting,18-02-1997,1997-02-18,KY,Female,Asian,Divorced,Fully meets,4,11-05-2023,5,High,4,5,07-Apr-23,2023-04-07,Technical Skills,Internal,Completed,1,3,344.44,24,Under 30,0,0
3514,15-Apr-20,2020-04-15,6,5-9 yrs,Area Sales Manager,BPC,Active,Full-Time,ZONE B,Part-Time,Sales,Wireline Construction,03-01-1958,1958-01-03,TX,Male,Asian,Married,Fully meets,1,25-08-2022,2,Low,1,1,21-Feb-23,2023-02-21,Leadership Development,Internal,Incomplete,0,3,975.46,62,60+,0,0
3516,07-Apr-22,2022-04-07,4,2-4 yrs,Area Sales Manager,SVG,Active,Contract,ZONE B,Part-Time,Sales,Project Management - Con,25-06-1988,1988-06-25,CO,Male,Asian,Divorced,Fully meets,5,15-11-2022,2,Low,3,5,22-Jun-23,2023-06-22,Technical Skills,Internal,Incomplete,0,1,570.42,34,30-39,0,0
3518,10-Apr-21,2021-04-10,5,5-9 yrs,Area Sales Manager,MSC,Active,Contract,ZONE B,Part-Time,Sales,General - Eng,24-05-1969,1969-05-24,CA,Female,Hispanic,Married,Fully meets,2,13-05-2023,4,High,2,5,27-Jun-23,2023-06-27,Customer Service,Internal,Completed,1,3,826.58,52,50-59,0,0
3520,13-Dec-20,2020-12-13,5,5-9 yrs,Area Sales Manager,TNS,Active,Full-Time,ZONE C,Temporary,Sales,Project Management - Con,01-03-1963,1963-03-01,ND,Female,Black,Divorced,Fully meets,1,17-09-2022,5,High,1,1,11-Sep-22,2022-09-11,Customer Service,External,Incomplete,0,1,607.93,57,50-59,0,0
3522,02-Mar-20,2020-03-02,6,5-9 yrs,Area Sales Manager,BPC,Active,Full-Time,ZONE C,Part-Time,Sales,Splicing,12-10-1983,1983-10-12,KY,Female,Other,Single,Fully meets,1,14-07-2023,1,Low,5,4,05-May-23,2023-05-05,Communication Skills,External,Completed,1,5,394.04,37,30-39,0,0
3523,25-Jun-21,2021-06-25,4,2-4 yrs,Area Sales Manager,CCDR,Active,Full-Time,ZONE A,Temporary,Sales,General - Con,19-12-1978,1978-12-19,KY,Female,Other,Single,Fully meets,2,27-02-2023,3,Medium,2,3,10-Jul-23,2023-07-10,Leadership Development,External,Incomplete,0,2,451.18,43,40-49,0,0
3527,01-May-20,2020-05-01,6,5-9 yrs,Area Sales Manager,PL,Active,Full-Time,ZONE B,Temporary,Sales,Aerial,15-10-1974,1974-10-15,CO,Male,Black,Married,Fully meets,1,27-02-2023,1,Low,3,2,06-Jan-23,2023-01-06,Project Management,Internal,Failed,0,4,396.28,46,40-49,0,0
3528,13-Oct-22,2022-10-13,3,2-4 yrs,Area Sales Manager,PYZ,Active,Full-Time,ZONE C,Part-Time,Sales,Finance & Accounting,13-12-1991,1991-12-13,CO,Male,Hispanic,Widowed,Fully meets,2,27-05-2023,5,High,2,2,02-Mar-23,2023-03-02,Technical Skills,External,Passed,1,1,465.96,31,30-39,0,0
3529,03-Jan-20,2020-01-03,6,5-9 yrs,Area Sales Manager,SVG,Active,Part-Time,ZONE C,Full-Time,Sales,Field Operations,18-06-1994,1994-06-18,IN,Male,Hispanic,Single,Fully meets,2,15-07-2023,2,Low,3,4,04-Sep-22,2022-09-04,Project Management,Internal,Incomplete,0,1,515.56,26,Under 30,0,0
3530,13-Nov-19,2019-11-13,6,5-9 yrs,Area Sales Manager,TNS,Active,Full-Time,ZONE B,Part-Time,Sales,Field Operations,16-06-1993,1993-06-16,CA,Female,Black,Widowed,Fully meets,2,27-11-2022,1,Low,2,5,18-Jan-23,2023-01-18,Customer Service,External,Passed,1,2,496.85,26,Under 30,0,0
3532,14-Oct-21,2021-10-14,4,2-4 yrs,Area Sales Manager,EW,Active,Part-Time,ZONE B,Full-Time,It/is,Wireless,27-11-1966,1966-11-27,OR,Female,Black,Widowed,Fully meets,1,08-10-2022,2,Low,2,5,02-May-23,2023-05-02,Technical Skills,Internal,Failed,0,2,771.61,55,50-59,0,0
3533,01-Jun-21,2021-06-01,5,5-9 yrs,Area Sales Manager,MSC,Active,Contract,ZONE B,Full-Time,Sales,General - Sga,12-11-1966,1966-11-12,ND,Male,White,Married,Fully meets,2,08-01-2023,2,Low,5,2,11-May-23,2023-05-11,Leadership Development,Internal,Completed,1,4,418.4,55,50-59,0,0
3534,14-Sep-18,2018-09-14,7,5-9 yrs,Area Sales Manager,TNS,Active,Full-Time,ZONE A,Full-Time,Sales,Engineers,16-08-1959,1959-08-16,KY,Female,Asian,Single,Fully meets,4,14-04-2023,4,High,3,2,21-May-23,2023-05-21,Customer Service,Internal,Completed,1,3,900.96,59,50-59,0,0
3535,11-Dec-18,2018-12-11,7,5-9 yrs,Area Sales Manager,PYZ,Active,Full-Time,ZONE A,Temporary,Sales,Fielders,02-02-1994,1994-02-02,KY,Female,Black,Single,Fully meets,4,01-11-2022,1,Low,5,1,25-Jun-23,2023-06-25,Technical Skills,External,Incomplete,0,1,936.96,24,Under 30,0,0
3536,06-Aug-22,2022-08-06,3,2-4 yrs,Area Sales Manager,WBL,Active,Contract,ZONE C,Temporary,Sales,General - Sga,02-01-1989,1989-01-02,GA,Female,Black,Single,Fully meets,2,09-10-2022,1,Low,2,4,23-Nov-22,2022-11-23,Leadership Development,External,Passed,1,5,269.03,33,30-39,0,0
3539,08-Dec-19,2019-12-08,6,5-9 yrs,Area Sales Manager,BPC,Active,Full-Time,ZONE C,Temporary,Sales,General - Con,27-11-1983,1983-11-27,CO,Male,Hispanic,Single,Fully meets,5,06-02-2023,3,Medium,3,4,17-Mar-23,2023-03-17,Project Management,External,Failed,0,4,234.77,36,30-39,0,0
3540,12-Mar-20,2020-03-12,6,5-9 yrs,Area Sales Manager,CCDR,Active,Full-Time,ZONE B,Part-Time,Sales,Splicing,09-06-1983,1983-06-09,CO,Male,White,Widowed,Exceeds,4,25-06-2023,2,Low,2,3,26-Oct-22,2022-10-26,Communication Skills,External,Incomplete,0,2,903.46,37,30-39,0,0
3541,06-Apr-20,2020-04-06,6,5-9 yrs,Area Sales Manager,SVG,Active,Full-Time,ZONE B,Full-Time,Sales,Field Operations,27-10-1991,1991-10-27,IN,Male,Black,Married,Exceeds,2,28-11-2022,1,Low,3,3,22-May-23,2023-05-22,Customer Service,External,Passed,1,4,380.3,29,Under 30,0,0
3543,10-Nov-20,2020-11-10,5,5-9 yrs,Area Sales Manager,MSC,Active,Part-Time,ZONE A,Temporary,Sales,General - Con,18-02-1981,1981-02-18,CA,Female,Black,Single,Fully meets,2,11-02-2023,4,High,5,5,21-May-23,2023-05-21,Communication Skills,External,Passed,1,4,171.03,39,30-39,0,0
3544,29-Jun-23,2023-06-29,2,2-4 yrs,Area Sales Manager,TNS,Active,Contract,ZONE A,Temporary,Sales,Aerial,16-09-2000,2000-09-16,CA,Male,Asian,Single,Fully meets,2,14-09-2022,3,Medium,5,3,02-May-23,2023-05-02,Leadership Development,External,Passed,1,3,842.93,23,Under 30,0,1
